,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
655,FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,2018,103,58,51,21,47.6%,32.8%,21.6%,14.3%,6.7%,12.3%,24.6%,25.0%,,,24%,23%,29%,5%,11%,23%,36%,0.0%,0.0%,0.0%,0.0%
656,SHADY GROVE FERTILITY-TOWSON,TOWSON,MARYLAND,2018,546,253,246,111,51.5%,41.1%,19.1%,9.0%,5.4%,6.6%,7.3%,10.1%,5 / 12,48.6%,10%,14%,23%,3%,3%,30%,45%,21.2%,27.8%,24.7%,31.1%
657,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,BOSTON,MASSACHUSETTS,2018,451,276,288,132,54.8%,39.9%,27.4%,16.7%,3.7%,5.6%,4.6%,4.8%,,50.0%,7%,10%,35%,7%,4%,23%,32%,13.6%,11.9%,15.0%,8.0%
658,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,BOSTON,MASSACHUSETTS,2018,222,167,122,66,53.6%,43.1%,36.1%,24.2%,3.2%,3.5%,6.0%,4.7%,7 / 11,34.8%,11%,12%,25%,5%,7%,39%,6%,9.2%,18.9%,22.6%,19.3%
659,"FERTILITY SOLUTIONS, PC",DEDHAM,MASSACHUSETTS,2018,129,103,94,40,38.8%,36.9%,23.4%,20.0%,3.9%,6.5%,11.3%,13.0%,* / 12,22.7%,10%,9%,28%,6%,5%,32%,3%,5.2%,6.6%,6.2%,8.3%
660,CCRM BOSTON,NEWTON,MASSACHUSETTS,2018,7,*,6,6,5 / 7,* / *,* / 6,* / 6,3.9%,6.6%,7.5%,10.9%,* / *,* / 5,2%,10%,31%,3%,1%,22%,4%,77.8%,82.5%,84.8%,13 / 17
661,"FERTILITY CENTERS OF NEW ENGLAND, INC.",READING,MASSACHUSETTS,2018,418,221,154,73,49.0%,41.6%,27.3%,8.2%,2.6%,3.4%,4.4%,3.1%,39.5%,50.0%,10%,9%,34%,6%,2%,30%,11%,8.5%,16.3%,26.7%,20.3%
662,BAYSTATE REPRODUCTIVE MEDICINE,SPRINGFIELD,MASSACHUSETTS,2018,147,84,90,26,55.1%,46.4%,23.3%,15.4%,10.9%,12.8%,17.2%,11.9%,* / 12,5 / 12,14%,21%,24%,10%,3%,24%,15%,6.4%,5.0%,7.2%,11.1%
663,"CARDONE REPRODUCTIVE MEDICINE AND INFERTILITY, LLC",STONEHAM,MASSACHUSETTS,2018,72,51,57,24,48.6%,41.2%,14.0%,0.0%,8.3%,10.8%,10.9%,15.2%,* / 5,46.2%,12%,17%,15%,4%,12%,18%,36%,14.7%,16.0%,29.3%,8 / 15
664,"BOSTON IVF, LLC",WALTHAM,MASSACHUSETTS,2018,827,588,610,254,50.1%,37.2%,24.6%,12.6%,5.8%,6.3%,7.3%,9.8%,51.9%,41.1%,9%,12%,21%,4%,2%,27%,37%,24.8%,32.2%,36.6%,27.3%
665,UNIVERSITY OF MICHIGAN CENTER FOR REPRODUCTIVE MEDICINE,ANN ARBOR,MICHIGAN,2018,181,76,52,37,51.9%,32.9%,25.0%,10.8%,4.9%,7.8%,8.4%,1.5%,33.3%,45.2%,13%,25%,28%,8%,7%,37%,11%,33.1%,58.1%,52.9%,35.5%
666,IVF MICHIGAN FERTILITY CENTERS,BLOOMFIELD HILLS,MICHIGAN,2018,371,133,88,32,60.6%,42.9%,28.4%,9.4%,1.4%,1.8%,5.5%,6.5%,7 / 9,52.2%,7%,17%,23%,5%,2%,48%,13%,30.8%,52.9%,51.8%,28.0%
667,MICHIGAN REPRODUCTIVE MEDICINE,BLOOMFIELD HILLS,MICHIGAN,2018,52,28,37,12,32.7%,28.6%,21.6%,0 / 12,6.1%,6.6%,20.0%,19.4%,7 / 15,* / 16,7%,14%,34%,3%,1%,19%,<1%,40.8%,31.4%,30.8%,6 / 11
668,GAGO IVF,BRIGHTON,MICHIGAN,2018,47,21,20,8,42.6%,42.9%,20.0%,* / 8,0.9%,1.6%,3.8%,0 / 19,* / *,71.4%,9%,20%,31%,8%,7%,29%,19%,81.8%,85.3%,92.6%,* / 7
669,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",GRAND RAPIDS,MICHIGAN,2018,282,96,86,32,50.0%,46.9%,26.7%,15.6%,6.5%,8.3%,9.6%,9.7%,0 / *,40.0%,15%,11%,29%,11%,4%,44%,7%,1.3%,0.6%,4.2%,0.0%
670,"IVF MICHIGAN ROCHESTER HILLS & FLINT, PC",ROCHESTER HILLS,MICHIGAN,2018,143,58,49,22,52.4%,50.0%,30.6%,9.1%,10.9%,19.0%,9.1%,* / 19,,,21%,20%,19%,19%,30%,52%,7%,7.0%,9.0%,17.8%,0 / 12
671,WAYNE STATE UNIVERSITY PHYSICIAN GROUP,SOUTHFIELD,MICHIGAN,2018,10,11,5,*,6 / 10,* / 11,0 / 5,0 / *,* / 13,* / 9,0 / 12,* / 11,* / *,,31%,20%,4%,16%,8%,12%,47%,* / 11,0 / 6,* / 8,* / 10
672,HENRY FORD REPRODUCTIVE MEDICINE,TROY,MICHIGAN,2018,19,7,12,*,8 / 19,* / 7,* / 12,0 / *,0.0%,13.0%,0 / 11,0 / *,,,12%,14%,14%,9%,4%,51%,15%,27.3%,5 / 13,0 / 5,0 / *
673,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,TROY,MICHIGAN,2018,124,86,82,46,58.9%,39.5%,31.7%,15.2%,6.0%,8.3%,16.9%,9.0%,7 / 7,40.0%,10%,13%,23%,11%,5%,49%,48%,23.9%,35.2%,34.8%,23.4%
674,"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",WARREN,MICHIGAN,2018,65,35,23,24,53.8%,42.9%,30.4%,4.2%,8.3%,3.6%,12.5%,17.8%,* / 12,6 / 13,8%,24%,29%,4%,<1%,33%,2%,36.3%,63.9%,43.6%,45.5%
675,CCRM MINNEAPOLIS,EDINA,MINNESOTA,2018,111,66,62,18,62.2%,50.0%,35.5%,* / 18,7.2%,7.8%,15.0%,7.6%,,65.1%,6%,11%,17%,4%,1%,22%,40%,58.3%,81.6%,95.5%,90.9%
676,"MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",MAPLE GROVE,MINNESOTA,2018,81,32,6,0,66.7%,37.5%,0 / 6,,2.7%,2.6%,5.0%,0 / *,,* / 9,12%,72%,6%,10%,1%,60%,4%,1.4%,0.0%,* / 18,0 / *
677,CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,MINNESOTA,2018,390,162,169,41,60.0%,45.7%,25.4%,19.5%,5.3%,8.9%,6.9%,17.8%,5 / 15,46.5%,9%,15%,18%,6%,3%,26%,9%,18.8%,26.8%,37.9%,63.9%
678,MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,ROCHESTER,MINNESOTA,2018,160,56,38,11,57.5%,35.7%,26.3%,* / 11,5.1%,5.1%,4.2%,14.3%,5 / 13,30.4%,5%,25%,16%,3%,2%,30%,33%,11.8%,22.8%,28.9%,* / 11
679,REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,WOODBURY,MINNESOTA,2018,256,98,60,34,64.8%,45.9%,25.0%,11.8%,2.7%,1.8%,3.6%,9.4%,50.0%,30.3%,10%,18%,15%,12%,2%,31%,12%,6.2%,12.6%,8.9%,13.9%
680,"MISSISSIPPI REPRODUCTIVE MEDICINE, PLLC",FLOWOOD,MISSISSIPPI,2018,54,29,7,*,37.0%,20.7%,* / 7,0 / *,4.9%,2.1%,7.4%,* / 5,,47.8%,17%,25%,8%,22%,12%,27%,12%,87.3%,82.6%,11 / 13,* / *
681,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,FLOWOOD,MISSISSIPPI,2018,52,22,17,9,55.8%,40.9%,* / 17,0 / 9,1.2%,4.8%,* / 12,* / 6,* / *,0 / 5,30%,24%,17%,18%,12%,29%,1%,1.7%,* / 13,* / 8,* / *
682,POSITIVE STEPS FERTILITY,MADISON,MISSISSIPPI,2018,0,0,0,0,,,,,3.5%,0 / 15,0 / 17,* / *,0 / *,* / *,39%,26%,12%,12%,9%,22%,7%,4.1%,* / 11,* / 11,
683,INFERTILITY CENTER OF ST. LOUIS,CHESTERFIELD,MISSOURI,2018,158,89,83,87,22.8%,12.4%,13.3%,2.3%,3.7%,7.0%,7.1%,4.9%,* / 15,29.0%,10%,13%,58%,2%,15%,25%,10%,1.7%,1.3%,1.6%,2.6%
684,MCRM FERTILITY,CHESTERFIELD,MISSOURI,2018,283,98,101,50,29.0%,25.5%,7.9%,4.0%,4.6%,8.2%,8.1%,7.0%,* / *,45.9%,3%,26%,28%,9%,4%,27%,34%,75.7%,79.5%,69.2%,12 / 17
685,MISSOURI FERTILITY,COLUMBIA,MISSOURI,2018,53,14,12,7,69.8%,9 / 14,5 / 12,* / 7,4.3%,13.2%,0 / 16,* / 10,,7 / 15,13%,27%,24%,18%,6%,52%,3%,31.2%,41.7%,* / 11,* / 5
686,MU HEALTHCARE,COLUMBIA,MISSOURI,2018,0,0,0,0,,,,,0 / 7,,0 / *,* / *,,,10%,0%,0%,20%,0%,20%,30%,0 / *,,0 / *,
687,BLUE SKY FERTILITY,KANSAS CITY,MISSOURI,2018,29,13,8,0,58.6%,8 / 13,* / 8,,6.4%,2.0%,19.0%,0 / 9,,9 / 11,9%,16%,53%,5%,4%,26%,9%,100.0%,17 / 17,9 / 9,* / *
688,MIDWEST WOMEN'S HEALTHCARE SPECIALISTS,KANSAS CITY,MISSOURI,2018,43,15,8,*,58.1%,* / 15,* / 8,0 / *,14.3%,3.2%,25.0%,0 / 10,10 / 17,* / *,22%,18%,48%,23%,15%,33%,12%,8.7%,0.0%,* / 7,0 / 8
689,FERTILITY PARTNERSHIP,SAINT PETERS,MISSOURI,2018,79,30,24,13,58.2%,33.3%,29.2%,0 / 13,4.7%,9.0%,7.4%,12.0%,* / *,* / 6,17%,14%,16%,12%,8%,23%,2%,5.8%,15.8%,3.2%,0 / 16
690,CENTER FOR REPRODUCTIVE MEDICINE & ROBOTIC SURGERY,ST. LOUIS,MISSOURI,2018,21,12,*,*,42.9%,* / 12,* / *,0 / *,1.9%,0 / 11,0 / 9,,,* / *,16%,26%,30%,30%,5%,22%,14%,* / 16,* / 5,* / *,
691,FERTILITY AND REPRODUCTIVE MEDICINE CENTER,ST. LOUIS,MISSOURI,2018,289,118,78,19,57.4%,33.1%,29.5%,* / 19,4.8%,9.5%,5.6%,7.7%,5 / 16,32.0%,12%,18%,16%,10%,2%,30%,13%,6.9%,9.1%,8.2%,14.3%
692,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-ST. LOUIS,ST. LOUIS,MISSOURI,2018,154,68,30,11,42.9%,27.9%,13.3%,0 / 11,9.7%,10.3%,12.1%,11.1%,* / 6,* / 10,9%,23%,29%,5%,<1%,21%,28%,17.5%,29.7%,55.8%,5 / 12
693,BILLINGS CLINIC,BILLINGS,MONTANA,2018,85,26,25,6,58.8%,38.5%,20.0%,* / 6,3.8%,11.3%,16.7%,* / 17,6 / 10,* / *,18%,27%,16%,14%,2%,25%,8%,6.7%,14.0%,9 / 16,* / 7
694,REPRODUCTIVE HEALTH SPECIALISTS,ELKHORN,NEBRASKA,2018,173,53,49,15,54.3%,47.2%,18.4%,* / 15,8.0%,14.5%,23.3%,21.2%,,45.2%,19%,20%,10%,7%,2%,29%,23%,56.3%,70.7%,68.8%,6 / 12
695,"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",OMAHA,NEBRASKA,2018,139,38,42,10,53.2%,34.2%,9.5%,* / 10,7.9%,17.1%,17.9%,5 / 15,,30.0%,12%,12%,22%,14%,4%,39%,4%,12.7%,12.9%,27.3%,* / *
696,GREEN VALLEY FERTILITY PARTNERS,HENDERSON,NEVADA,2018,55,32,65,23,58.2%,50.0%,12.3%,8.7%,4.8%,1.3%,9.0%,13.9%,,6 / 16,18%,15%,31%,4%,1%,27%,1%,35.1%,22.8%,44.1%,7 / 15
697,FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,NEVADA,2018,84,51,52,36,50.0%,43.1%,32.7%,0.0%,8.0%,11.5%,10.1%,20.5%,* / *,59.3%,5%,4%,49%,2%,1%,20%,8%,39.1%,50.0%,50.0%,61.5%
698,RED ROCK FERTILITY CENTER,LAS VEGAS,NEVADA,2018,43,22,32,15,51.2%,36.4%,12.5%,* / 15,2.5%,6.2%,5.5%,11.1%,,* / 15,12%,11%,18%,2%,2%,22%,28%,83.1%,100.0%,89.3%,8 / 10
699,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-LAS VEGAS,LAS VEGAS,NEVADA,2018,99,33,38,33,26.3%,24.2%,21.1%,6.1%,3.0%,5.6%,3.8%,8.3%,,13 / 19,7%,16%,34%,5%,3%,15%,78%,30.5%,34.3%,70.0%,9 / 19
700,THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,RENO,NEVADA,2018,90,36,43,11,54.4%,36.1%,23.3%,0 / 11,5.0%,5.5%,9.1%,6.1%,0 / *,52.8%,13%,17%,45%,8%,7%,25%,81%,67.9%,85.4%,69.4%,11 / 15
701,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,BASKING RIDGE,NEW JERSEY,2018,"1,122",669,678,288,66.7%,56.8%,35.7%,20.8%,1.6%,3.3%,3.2%,4.3%,0 / *,53.7%,10%,18%,40%,5%,8%,74%,24%,72.2%,80.8%,83.1%,81.4%
702,CLIFTON LOW COST IVF,CLIFTON,NEW JERSEY,2018,8,*,*,0,* / 8,* / *,* / *,,0 / *,0 / *,0 / *,,,,33%,8%,8%,0%,0%,8%,8%,* / *,* / *,0 / *,
703,NJ BEST OB/GYN,CLIFTON,NEW JERSEY,2018,8,*,*,0,* / 8,0 / *,0 / *,,0 / *,0 / *,* / *,0 / *,,,0%,0%,46%,0%,0%,0%,0%,* / *,* / *,* / *,0 / *
704,REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY,EATONTOWN,NEW JERSEY,2018,104,62,50,10,47.1%,38.7%,16.0%,* / 10,5.3%,0.9%,11.1%,4.5%,7 / 13,6 / 17,13%,27%,37%,7%,2%,52%,6%,12.5%,19.2%,38.0%,* / 13
705,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,EDISON,NEW JERSEY,2018,88,42,52,20,55.7%,35.7%,34.6%,15.0%,7.6%,6.9%,12.2%,22.2%,0 / 5,* / 14,11%,23%,42%,4%,<1%,29%,2%,49.5%,56.0%,59.5%,5 / 11
706,WOMEN'S FERTILITY CENTER,ENGLEWOOD,NEW JERSEY,2018,18,11,11,5,9 / 18,5 / 11,* / 11,* / 5,* / 15,* / 6,* / 12,* / 8,,,14%,2%,45%,4%,0%,31%,8%,* / 10,* / *,0 / 8,* / 5
707,NORTH HUDSON IVF,ENGLEWOOD CLIFFS,NEW JERSEY,2018,*,*,*,0,0 / *,* / *,0 / *,,0 / 8,0 / 6,0 / *,0 / *,,* / 6,0%,0%,57%,23%,13%,10%,7%,* / *,* / *,* / *,* / *
708,"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",HASBROUCK HEIGHTS,NEW JERSEY,2018,99,61,71,42,37.4%,23.0%,23.9%,16.7%,1.7%,3.6%,4.1%,5.4%,* / 8,22.7%,10%,12%,32%,2%,4%,42%,4%,37.5%,45.7%,39.3%,56.5%
709,SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE DBA,LAKEWOOD,NEW JERSEY,2018,43,48,30,9,48.8%,12.5%,20.0%,0 / 9,14.5%,22.1%,20.4%,* / 13,* / *,* / 7,21%,12%,5%,4%,3%,17%,5%,24.2%,17.9%,17.2%,0 / 8
710,"DELAWARE VALLEY OBGYN & INFERTILITY GROUP, PC",LAWRENCEVILLE,NEW JERSEY,2018,29,18,17,7,41.4%,* / 18,* / 17,0 / 7,0.0%,0 / 12,6.9%,* / 14,0 / *,* / 9,17%,23%,45%,0%,4%,28%,5%,9.7%,0 / 10,0.0%,0 / 10
711,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,NEW JERSEY,2018,249,166,205,95,49.8%,34.3%,19.0%,9.5%,1.5%,3.6%,11.9%,15.3%,10 / 19,43.1%,9%,24%,32%,9%,8%,18%,3%,40.4%,45.5%,40.5%,41.6%
712,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,NEW JERSEY,2018,35,28,9,5,54.3%,42.9%,* / 9,* / 5,9.6%,* / 19,* / 18,* / 7,,5 / 6,19%,53%,10%,5%,2%,38%,11%,7.5%,* / 14,* / 8,* / *
713,SOUTH JERSEY FERTILITY CENTER,MARLTON,NEW JERSEY,2018,144,46,46,37,54.2%,50.0%,37.0%,8.1%,4.3%,6.3%,6.1%,19.4%,5 / 10,33.3%,14%,20%,20%,7%,7%,28%,55%,47.0%,47.6%,49.4%,34.5%
714,DIAMOND INSTITUTE FOR INFERTILITY & MENOPAUSE,MILLBURN,NEW JERSEY,2018,82,42,66,26,37.8%,45.2%,9.1%,0.0%,7.1%,13.1%,11.1%,13.3%,,22.7%,21%,22%,48%,7%,18%,51%,0%,25.3%,26.1%,53.8%,* / 15
715,"COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS, PC",MOUNT LAUREL,NEW JERSEY,2018,107,94,119,63,42.1%,20.2%,6.7%,6.3%,13.1%,10.6%,13.9%,11.1%,* / *,39.3%,19%,7%,47%,5%,2%,34%,9%,4.5%,7.7%,2.2%,0.0%
716,FERTILITY INSTITUTE OF NEW JERSEY AND NEW YORK,ORADELL,NEW JERSEY,2018,70,50,52,25,60.0%,48.0%,26.9%,20.0%,2.3%,6.5%,10.1%,6.8%,* / *,57.1%,16%,39%,58%,8%,27%,50%,28%,66.0%,53.2%,43.8%,8 / 18
717,VALLEY HOSPITAL FERTILITY CENTER,PARAMUS,NEW JERSEY,2018,90,62,58,38,44.4%,32.3%,22.4%,10.5%,6.3%,6.5%,14.5%,6.8%,6 / 7,50.0%,17%,17%,29%,7%,8%,26%,11%,56.9%,55.8%,53.1%,45.0%
718,DAMIEN FERTILITY PARTNERS,SHREWSBURY,NEW JERSEY,2018,95,69,57,34,53.7%,40.6%,29.8%,17.6%,0.5%,2.6%,8.4%,7.0%,8 / 13,11 / 19,7%,5%,17%,19%,4%,27%,39%,29.2%,36.6%,30.4%,19.0%
719,CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,VOORHEES,NEW JERSEY,2018,53,20,12,8,62.3%,35.0%,5 / 12,* / 8,1.9%,7.2%,6.6%,3.7%,,11 / 16,9%,19%,26%,2%,3%,18%,12%,5.9%,7.0%,2.4%,0 / 18
720,"CAPERTON FERTILITY INSTITUTE, LLC",ALBUQUERQUE,NEW MEXICO,2018,79,56,45,10,34.2%,32.1%,17.8%,* / 10,5.9%,7.7%,17.9%,0.0%,,47.6%,5%,28%,25%,25%,41%,15%,18%,97.0%,95.3%,14 / 15,11 / 11
721,"THE FERTILITY CENTER OF NEW MEXICO, LLC",ALBUQUERQUE,NEW MEXICO,2018,39,29,21,8,51.3%,37.9%,33.3%,* / 8,6.3%,6.3%,17.1%,* / 19,,* / 5,13%,17%,30%,6%,23%,58%,83%,89.2%,73.5%,70.0%,5 / 9
722,GENESIS FERTILITY & REPRODUCTIVE MEDICINE,BROOKLYN,NEW YORK,2018,132,70,124,36,46.2%,32.9%,23.4%,16.7%,10.8%,13.5%,15.5%,24.7%,35.7%,26.9%,17%,11%,32%,4%,1%,33%,17%,35.9%,28.7%,25.8%,32.6%
723,"INFERTILITY & IVF MEDICAL ASSOCIATES OF WESTERN NEW YORK, PLLC DBA",BUFFALO,NEW YORK,2018,202,91,65,49,43.1%,31.9%,26.2%,10.2%,9.6%,10.4%,12.3%,26.2%,6 / 15,* / 7,11%,13%,30%,14%,1%,41%,1%,5.6%,2.0%,8.7%,6.3%
724,"HUDSON VALLEY FERTILITY, PLLC",FISHKILL,NEW YORK,2018,65,42,68,33,43.1%,26.2%,13.2%,9.1%,5.9%,3.4%,10.1%,21.2%,* / 8,* / 6,21%,33%,32%,4%,8%,31%,12%,35.2%,50.0%,46.2%,* / 10
725,THE NEW YORK FERTILITY CENTER,FLUSHING,NEW YORK,2018,82,56,39,29,28.0%,14.3%,12.8%,3.4%,1.7%,0.0%,1.7%,2.9%,,* / 15,5%,16%,13%,4%,6%,9%,7%,5.7%,8.1%,9.8%,* / 19
726,MONTEFIORE'S INSTITUTE FOR REPRODUCTIVE MEDICINE AND HEALTH,HARTSDALE,NEW YORK,2018,37,37,33,24,59.5%,40.5%,30.3%,12.5%,4.3%,7.0%,17.7%,18.2%,0 / *,* / *,32%,8%,35%,7%,15%,27%,11%,5.9%,8.1%,11.5%,14.3%
727,"BOSTON IVF, THE ALBANY CENTER",LOUDONVILLE,NEW YORK,2018,166,89,77,36,45.2%,23.6%,14.3%,2.8%,10.8%,10.3%,9.2%,13.2%,,* / 6,15%,19%,24%,8%,2%,23%,13%,23.7%,20.3%,47.2%,14.3%
728,NORTHWELL HEALTH FERTILITY,MANHASSET,NEW YORK,2018,265,186,203,88,60.0%,44.1%,30.0%,18.2%,4.3%,5.7%,8.8%,15.1%,* / *,41.9%,9%,13%,20%,2%,2%,27%,12%,74.5%,72.7%,74.6%,66.3%
729,RMA LONG ISLAND IVF,MELVILLE,NEW YORK,2018,210,150,180,81,53.3%,33.3%,18.3%,7.4%,5.9%,10.2%,10.4%,13.3%,41.0%,30.0%,21%,12%,24%,9%,17%,29%,13%,17.9%,25.6%,22.2%,26.6%
730,NYU LANGONE REPRODUCTIVE SPECIALISTS OF NEW YORK,MINEOLA,NEW YORK,2018,215,189,189,124,52.6%,30.7%,16.4%,10.5%,8.9%,10.2%,9.1%,14.0%,34.8%,33.3%,17%,12%,55%,3%,5%,28%,28%,23.3%,31.7%,27.0%,28.9%
731,WESTCHESTER REPRODUCTIVE MEDICINE,MOUNT KISCO,NEW YORK,2018,7,*,*,*,* / 7,* / *,0 / *,* / *,* / 17,0 / *,* / 5,0 / *,,,26%,19%,19%,0%,0%,48%,22%,* / 9,* / *,* / *,0 / *
732,"ADVANCED FERTILITY SERVICES, PC",NEW YORK,NEW YORK,2018,11,9,5,*,* / 11,0 / 9,* / 5,0 / *,0.0%,0 / 8,0 / 6,0 / *,* / *,* / *,5%,0%,62%,2%,0%,15%,27%,0 / 17,0 / 5,0 / *,0 / *
733,CCRM NEW YORK,NEW YORK,NEW YORK,2018,107,77,105,70,50.5%,37.7%,22.9%,4.3%,1.0%,0.6%,2.6%,3.1%,* / *,54.4%,4%,8%,41%,3%,5%,15%,13%,96.3%,98.0%,95.3%,82.9%
734,CENTER FOR HUMAN REPRODUCTION (CHR),NEW YORK,NEW YORK,2018,42,41,67,57,16.7%,24.4%,6.0%,3.5%,9.3%,3.8%,15.6%,4.5%,35.0%,35.3%,10%,11%,81%,9%,12%,25%,8%,12.9%,4.8%,6.9%,9.4%
735,CHELSEA FERTILITY NYC,NEW YORK,NEW YORK,2018,44,14,37,12,25.0%,* / 14,10.8%,* / 12,4.2%,7.0%,7.2%,0.0%,0 / *,* / 13,4%,23%,42%,1%,2%,17%,9%,53.3%,72.7%,52.0%,5 / 12
736,COLUMBIA UNIVERSITY FERTILITY CENTER,NEW YORK,NEW YORK,2018,107,136,173,145,42.1%,22.8%,18.5%,6.2%,5.5%,6.6%,11.8%,14.5%,,41.5%,10%,34%,42%,6%,23%,48%,11%,26.8%,49.1%,42.9%,46.0%
737,EXTEND FERTILITY-EXPECT FERTILITY,NEW YORK,NEW YORK,2018,22,22,22,6,18.2%,4.5%,4.5%,0 / 6,3.3%,2.7%,6.2%,8.9%,,,0%,0%,1%,<1%,0%,0%,<1%,12 / 16,* / *,* / *,* / *
738,"GENERATION NEXT FERTILITY, PLLC",NEW YORK,NEW YORK,2018,35,50,58,60,8.6%,2.0%,13.8%,5.0%,0.8%,0.0%,1.9%,2.0%,* / 9,* / 16,5%,4%,31%,2%,5%,14%,14%,19.7%,23.1%,14.4%,10.2%
739,"GLOBAL FERTILITY & GENETICS, NY",NEW YORK,NEW YORK,2018,0,0,0,0,,,,,0 / *,0 / 8,0 / *,,,,0%,0%,20%,0%,0%,0%,15%,,,0 / *,
740,KINDBODY-NEW YORK,NEW YORK,NEW YORK,2018,0,0,0,0,,,,,0 / *,* / 5,,* / *,,,0%,0%,0%,0%,0%,0%,0%,,,,
741,KOFINAS FERTILITY GROUP,NEW YORK,NEW YORK,2018,68,43,59,38,73.5%,55.8%,37.3%,15.8%,1.5%,3.3%,2.0%,5.3%,,53.1%,33%,16%,34%,49%,31%,30%,27%,92.6%,78.6%,65.5%,60.0%
742,"ANDREW LOUCOPOULOS, MD, PHD",NEW YORK,NEW YORK,2018,8,7,6,*,* / 8,* / 7,0 / 6,0 / *,0 / 9,0 / 6,0 / 7,0 / *,,* / 8,0%,0%,86%,0%,0%,11%,42%,0 / 5,0 / *,* / *,
743,MANHATTAN REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,2018,10,7,7,*,* / 10,* / 7,* / 7,0 / *,0 / 9,* / 12,0 / 9,0 / 8,,,39%,12%,55%,6%,39%,27%,8%,0 / 9,* / 11,0 / 9,0 / 8
744,"METROPOLITAN REPRODUCTIVE MEDICINE, PC",NEW YORK,NEW YORK,2018,15,6,*,*,8 / 15,* / 6,* / *,0 / *,4.0%,0 / 15,0 / 10,* / 6,,0 / *,9%,13%,31%,3%,0%,30%,16%,5 / 16,5 / 6,* / 6,* / *
745,NEW HOPE FERTILITY CENTER,NEW YORK,NEW YORK,2018,408,302,696,544,41.9%,26.2%,11.4%,5.7%,2.3%,2.7%,3.8%,4.2%,* / 7,39.2%,8%,3%,60%,3%,5%,6%,1%,74.4%,72.2%,71.9%,73.8%
746,NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,2018,9,20,12,7,* / 9,20.0%,0 / 12,0 / 7,4.2%,3.7%,* / 17,0 / *,,* / 9,0%,0%,25%,12%,17%,21%,35%,* / *,9 / 12,* / *,* / *
747,NEWAY MEDICAL,NEW YORK,NEW YORK,2018,31,36,44,40,41.9%,16.7%,6.8%,2.5%,1.6%,3.1%,5.8%,10.0%,0 / *,* / *,3%,7%,31%,1%,1%,12%,26%,24.2%,* / 10,45.0%,0 / 5
748,NOBLE FERTILITY CENTER,NEW YORK,NEW YORK,2018,66,17,42,6,43.9%,6 / 17,19.0%,0 / 6,4.7%,5.6%,14.1%,4.8%,,* / 6,17%,9%,23%,2%,2%,20%,0%,3.9%,8.3%,11.1%,0 / 16
749,"NYC IN VITRO FERTILIZATION, PC",NEW YORK,NEW YORK,2018,0,0,0,0,,,,,3.6%,0.0%,0 / 9,0 / *,0 / *,0 / *,5%,7%,47%,0%,0%,54%,4%,* / 12,* / 16,* / 6,0 / *
750,NYU LANGONE FERTILITY CENTER,NEW YORK,NEW YORK,2018,328,273,319,222,54.3%,37.0%,29.2%,14.4%,5.8%,7.2%,8.2%,13.3%,58.8%,55.2%,5%,12%,29%,3%,3%,12%,36%,77.3%,78.9%,82.1%,69.2%
